,date,SCAN_N,DEX1,DEX2,rams2x,rams2z,initial_load_volts,initial_load_newtons,initial_screw,final_load_volts,final_load_newtons,final_screw,ome_start_req,ome_end_req,nframes_req,ome_start_real,ome_end_real,nframes_real,step_real,count_time,load_step,MECHTEST_CYCLE_NUM,foil_in,det,junkstart,goodstart,ramsx,ramsz,scan_type
0,2023-11-08 18:49:34,16,18.0,18.0,-1.83105e-07,-0.175,-1,4.19511,-15.0749,-1,3.8818,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
1,2023-11-08 18:57:26,17,19.0,19.0,-1.83105e-07,-0.125,-1,4.19511,-15.0749,-1,3.8818,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
2,2023-11-08 19:05:19,18,20.0,20.0,-1.83105e-07,-0.075,-1,4.19511,-15.0749,-1,4.19511,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
3,2023-11-08 19:13:08,19,21.0,21.0,-1.83105e-07,-0.025,-1,3.8818,-15.0749,-1,4.19511,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
4,2023-11-08 19:21:00,20,22.0,22.0,-1.83105e-07,0.025,-1,4.19511,-15.0749,-1,4.19511,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
5,2023-11-08 19:28:49,21,23.0,23.0,-1.83105e-07,0.075,-1,4.19511,-15.0749,-1,4.50842,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
6,2023-11-08 19:36:37,22,24.0,24.0,-1.83105e-07,0.125,-1,3.8818,-15.0749,-1,4.50842,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
7,2023-11-08 19:44:26,23,25.0,25.0,-1.83105e-07,0.175,-1,4.19511,-15.0749,-1,3.8818,-15.0749,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
0,2023-11-08 20:26:38,1,26.0,26.0,-1.83105e-07,-0.175,-1,1.68863,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
1,2023-11-08 20:34:30,2,27.0,27.0,-1.83105e-07,-0.125,-1,0.7487,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
2,2023-11-08 20:42:26,3,28.0,28.0,-1.83105e-07,-0.075,-1,1.06201,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
3,2023-11-08 20:50:13,4,29.0,29.0,-1.83105e-07,-0.025,-1,0.7487,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
4,2023-11-08 20:58:03,5,30.0,30.0,-1.83105e-07,0.025,-1,1.06201,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
5,2023-11-08 21:05:55,6,31.0,31.0,-1.83105e-07,0.075,-1,0.7487,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
6,2023-11-08 21:13:43,7,32.0,32.0,-1.83105e-07,0.125,-1,0.7487,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
7,2023-11-08 21:21:33,8,33.0,33.0,-1.83105e-07,0.175,-1,0.7487,-14.926,-1,0.7487,-14.926,0,360,1440,-0.000635593,359.944,1441,0.249788,0.25,0,1,0,dexela,,,,,
0,2023-11-08 21:44:01,3,,,,,-1,0.7487,-14.926,-1,0.7487,-14.926,0,10,20,-0.000127119,9.99903,20,0.499958,0.5,0,1,0,retiga,224.0,228.0,-1.83105e-07,0.0,df1
1,2023-11-08 21:53:29,5,,,,,-1,0.7487,-14.926,-1,1.06201,-14.926,0,10,20,-0.000127119,9.99903,20,0.499958,0.5,0,1,0,retiga,267.0,271.0,-1.83105e-07,0.0,df1
2,2023-11-08 21:54:22,6,,,,,-1,1.06201,-14.926,-1,1.06201,-14.926,0,10,20,-0.000127119,9.99903,20,0.499958,0.5,0,1,0,retiga,293.0,297.0,-4.5,0.0,bf1
3,2023-11-08 21:57:55,7,,,,,-1,1.06201,-14.926,-1,1.06201,-14.926,0,360,360,-0.000254237,359.969,360,0.999915,0.5,0,1,0,retiga,319.0,323.0,-1.83105e-07,0.0,tomo
4,2023-11-08 22:00:02,8,,,,,-1,1.06201,-14.926,-1,0.7487,-14.926,0,10,20,-0.000127119,9.99903,20,0.499958,0.5,0,1,0,retiga,685.0,689.0,-1.83105e-07,0.0,df2
5,2023-11-08 22:00:56,9,,,,,-1,1.06201,-14.926,-1,0.7487,-14.926,0,10,20,-0.000127119,9.99903,20,0.499958,0.5,0,1,0,retiga,711.0,715.0,-4.5,0.0,bf2
0,2023-11-08 22:19:58,1,,,,,-1,0.7487,-14.926,-1,0.43539,-14.926,0,90,360,-0.000635593,89.9231,360,0.249788,2.0,0,1,0,retiga,0.0,4.0,-1.83105e-07,-0.1575,
1,2023-11-08 22:32:54,2,,,,,-1,0.43539,-14.926,-1,-1.44447,-14.926,90,180,360,89.9994,179.923,360,0.249788,2.0,0,1,0,retiga,0.0,4.0,-1.83105e-07,-0.1575,
